Nombre;NAME;TOPX;TOPY;LEASE;CURRENTTYPE;STRUCTURE;MOP
712;CIRA0712;1033554.88;1264283.88;712;PROD_OIL;CIRA EAST;BEAM
713;CIRA0713;1031880.57;1263238.18;713;PROD_OIL;CIRA SOUTH;BEAM
714;CIRA0714;1034214.18;1266003.79;714;PROD_OIL;CIRA EAST;BEAM
715;CIRA0715;1033025.85;1260405.63;715;PROD_OIL;INFANTAS NORTH;BEAM
716;CIRA0716;1030999.63;1261651.22;716;PROD_OIL;CIRA SOUTH;BEAM
717;CIRA0717;1031252.2;1264661.99;717;PROD_OIL;CIRA SOUTH;BEAM
718;CIRA0718;1033494.73;1263517.2;718;PROD_OIL;CIRA EAST;BEAM
719;CIRA0719;1033223.89;1261697.69;719;PROD_OIL;CIRA SOUTH;BEAM
720;CIRA0720;1032656.92;1264574.48;720;PROD_OIL;CIRA SOUTH;BEAM
722;CIRA0722;1031271.2;1261370.11;722;PROD_OIL;CIRA SOUTH;BEAM
723;CIRA0723;1031435.75;1262170.08;723;PROD_OIL;CIRA SOUTH;BEAM
724;CIRA0724;1031615.13;1262502.79;724;PROD_OIL;CIRA SOUTH;ESP
725;CIRA0725;1031384.79;1263376.07;725;PROD_OIL;CIRA SOUTH;BEAM
726;CIRA0726;1032151.02;1261246.5;726;PROD_OIL;CIRA SOUTH;BEAM
727;CIRA0727;1031899.65;1261588.41;727;PROD_OIL;CIRA SOUTH;BEAM
729;CIRA0729;1031707.77;1262880.27;729;PROD_OIL;CIRA SOUTH;BEAM
730;CIRA0730;1031610.24;1263663.43;730;PROD_OIL;CIRA SOUTH;PROG_CAVITY
731;CIRA0731;1031220.78;1263732.3;731;PROD_OIL;CIRA SOUTH;BEAM
732;CIRA0732;1033952.93;1265471.93;732;PROD_OIL;CIRA EAST;BEAM
733;CIRA0733;1031014.16;1262256.83;733;PROD_OIL;CIRA SOUTH;BEAM
735;CIRA0735;1031363.25;1265135.95;735;PROD_OIL;CIRA NORTH;BEAM
736;CIRA0736;1031396.34;1264025.72;736;PROD_OIL;CIRA SOUTH;BEAM
737;CIRA0737;1030951.27;1263319.67;737;PROD_OIL;CIRA SOUTH;PROG_CAVITY
738;CIRA0738;1031262.08;1260932.75;738;PROD_OIL;CIRA SOUTH;BEAM
739;CIRA0739;1030880.37;1261233.01;739;PROD_OIL;CIRA SOUTH;BEAM
742;CIRA0742;1032726.97;1266677.48;742;PROD_OIL;CIRA NORTH;BEAM
743;CIRA0743;1030747.2;1262482.36;743;PROD_OIL;CIRA SOUTH;BEAM
744;CIRA0744;1033558.94;1261296.4;744;PROD_OIL;INFANTAS NORTH;BEAM
745;CIRA0745;1033290.03;1260708.81;745;PROD_OIL;INFANTAS NORTH;BEAM
746;CIRA0746;1034341.31;1266976.01;746;PROD_OIL;CIRA EAST;BEAM
747;CIRA0747;1033127.15;1266669.69;747;PROD_OIL;CIRA NORTH;BEAM
748;CIRA0748;1032271.42;1266306.79;748;PROD_OIL;CIRA NORTH;BEAM
750;CIRA0750;1031117.14;1261463.7;750;PROD_OIL;CIRA SOUTH;BEAM
751;CIRA0751;1032319.96;1267153.18;751;PROD_OIL;CIRA NORTH;BEAM
752;CIRA0752;1031942.65;1264816.15;752;PROD_OIL;CIRA SOUTH;BEAM
754;CIRA0754;1033739.17;1265233.27;754;PROD_OIL;CIRA EAST;BEAM
755;CIRA0755;1031565.26;1265535.87;755;PROD_OIL;CIRA NORTH;BEAM
756;CIRA0756;1030852.56;1260894.57;756;PROD_OIL;CIRA SOUTH;BEAM
757;CIRA0757;1030394.82;1262456.46;757;PROD_OIL;CIRA SOUTH;BEAM
758;CIRA0758;1031148.58;1260717.47;758;PROD_OIL;CIRA SOUTH;BEAM
759;CIRA0759;1031043.52;1261081.8;759;PROD_OIL;CIRA SOUTH;BEAM
